primary_category,postings,total_vacancies,median_salary,avg_applications,avg_views,salary_score,demand_score,vacancy_score,competition_score,opportunity_score
Accounting / Auditing / Taxation,77974,163387,3650.0,2.490009490342935,34.435978659553186,0.26881720430107525,0.9491635783134685,0.9304156080009879,0.30863987247028457,54.6
Admin / Secretarial,100326,221375,2850.0,2.7173015967944503,31.180870362617867,0.0967741935483871,1.0,0.9881789444581105,0.266670652304125,49.0
Advertising / Media,16563,27537,3750.0,3.113566382901648,32.35742317213065,0.2903225806451613,0.636707145440501,0.5917941791352493,0.19929197818856503,40.4
Architecture / Interior Design,14597,29156,4000.0,1.048503117078852,24.032266904158387,0.34408602150537637,0.6112236181753826,0.6026586302344552,0.6630499127478753,51.3
Banking and Finance,46257,109524,6250.0,3.755669412197073,38.45949802192101,0.8279569892473119,0.8438479977221497,0.8543496466668448,0.10280809450502293,69.1
Building and Construction,73826,159210,4100.0,1.8275810690000813,27.739129845853764,0.3655913978494624,0.9381381993842477,0.9254905274453069,0.44865098556148375,60.9
Consulting,24003,100182,5000.0,2.514019080948215,26.502062242219722,0.5591397849462365,0.7115335656829418,0.8373945603477435,0.3040793528932182,58.8
Customer Service,63321,230427,3000.0,1.6773266372925253,22.848802135152635,0.12903225806451613,0.9071797613488298,0.995800440041066,0.48497224587683385,52.5
Design,7949,13390,4000.0,3.3019247704113726,38.86702729903133,0.34408602150537637,0.4886513017535278,0.4546797191931153,0.16950998143161544,36.2
Education and Training,34497,148004,3300.0,1.5760211032843436,22.819433573933964,0.1935483870967742,0.7846843178968202,0.9116106025440915,0.5106304727466793,51.2
Engineering,99445,188224,4250.0,1.6791895017346272,23.316868620845693,0.3978494623655914,0.9982210404316643,0.9573275917355185,0.4845095723719365,64.9
Entertainment,1771,6357,4150.0,1.642010163749294,19.926030491247882,0.3763440860215054,0.1858950695166206,0.31302289555723506,0.49380511918018977,34.3
Environment / Health,9922,44396,3500.0,1.6387825035275145,20.01562185043338,0.23655913978494625,0.5333636271525942,0.6826235916484138,0.49461825768109635,42.9
Events / Promotions,4331,9614,3400.0,2.5467559455091204,29.06903717386285,0.21505376344086022,0.36619395219690154,0.3916820340156468,0.2979110797481831,29.6
F&B,58687,233389,3500.0,0.8196704551263483,15.062245471739908,0.23655913978494625,0.8918514714969135,0.9982294593526294,0.7418442908690146,61.6
General Management,13621,41002,4250.0,3.324425519418545,29.02151090228324,0.3978494623655914,0.5972666784220062,0.6674994623297528,0.16603984421552453,44.2
General Work,14074,50840,2400.0,1.082989910473213,24.28826204348444,0.0,0.603864922034903,0.7083984892038448,0.6519445779583999,38.8
Healthcare / Pharmaceutical,32599,165841,3750.0,1.7028129697229977,24.035921347280592,0.2903225806451613,0.773270612664203,0.9332507238369279,0.4786700365457389,54.5
Hospitality,6316,15488,2950.0,2.283882203926536,31.227675744141862,0.11827956989247312,0.4422761761846504,0.48235943532516207,0.3491354051250144,30.0
Human Resources,22731,37575,3850.0,3.581408648981567,30.365448066517093,0.3118279569892473,0.7005519311628134,0.6509008879858939,0.12764027358239105,42.3
Information Technology,99652,235572,6750.0,2.4449283506602977,27.221831975273954,0.9354838709677419,0.9986404376720709,1.0,0.31728824142182155,83.7
Insurance,3209,7857,5250.0,1.7731380492365223,25.062636335306948,0.6129032258064516,0.3057343201107095,0.3533058213248775,0.46158364586327794,46.7
Legal,3416,4656,7050.0,2.435889929742389,34.17652224824356,1.0,0.3183386227932076,0.25381278398942614,0.3190357869586946,58.1
Logistics / Supply Chain,44073,92540,3250.0,2.01134481428539,24.129830054682007,0.1827956989247312,0.8340931656545205,0.8223046516023849,0.40676718341256257,48.6
Manufacturing,16269,37020,3400.0,1.5290429651484418,26.533714426209354,0.21505376344086022,0.6330950494004083,0.6480710130500673,0.5228733259039993,44.6
Marketing / Public Relations,22656,33734,4000.0,3.0508474576271185,27.340925141242938,0.34408602150537637,0.6998853773923815,0.630394181873692,0.20951214344450642,44.9
