title_display,primary_category,postings,median_salary,avg_applications,avg_views,opportunity_score,competition_level
(B) Lorry Driver (Class 4 License) Up To $4000,Logistics / Supply Chain,26,3750.0,0.3076923076923077,8.76923076923077,25.4,Low
(B) Nurse Assistant,Healthcare / Pharmaceutical,33,3000.0,0.36363636363636365,8.666666666666666,26.7,Low
(J) Business Development Manager (Contract),Customer Service,20,5750.0,0.6,3.0,26.3,Low
(J) Class 4 Driver (Gross Up3.5K / 5 Days),General Work,26,3250.0,0.0,2.3076923076923075,25.9,Low
(J) Delivery Assistant,General Work,23,2850.0,0.17391304347826086,4.0,23.5,Low
(J) Head Carpenter,Building and Construction,35,3750.0,0.0,3.657142857142857,28.8,Low
(J) Lift Supervisor (Maintenance),Building and Construction,22,3000.0,0.09090909090909091,1.5,23.9,Low
(J) Logistics Cum Warehouse Assistant,Admin / Secretarial,25,2300.0,1.08,18.24,20.0,Medium
(J) Planner (Manufacturing),Admin / Secretarial,25,2500.0,0.12,2.68,23.6,Low
(J) Plastic Molding Injection Program Engineer (Manufacturing),Engineering,24,3250.0,0.08333333333333333,11.166666666666666,24.9,Low
(J) Plastic Molding Injection Program Manager - (Molding / Manufacturing),Engineering,26,4000.0,0.2692307692307692,7.038461538461538,26.0,Low
(J) Quality Engineer (Npi),Engineering,22,3200.0,0.045454545454545456,2.6363636363636362,24.5,Low
(J) Regional Sales Manager,Engineering,33,5100.0,3.6666666666666665,19.272727272727273,22.7,Medium
(J) Sales Support / Coordinator (Manufacturing),Admin / Secretarial,24,3500.0,0.4583333333333333,4.375,23.8,Low
(J) Warehouse Supervisor - [Manufacturing Goods],General Management,22,3000.0,0.18181818181818182,2.909090909090909,23.4,Low
(Jc) (Soldering & Tuning) Testing Technician - Electronic Manufacturing,General Work,22,2600.0,0.09090909090909091,2.4545454545454546,24.5,Low
(Jc) Accounts Assistant (Tuas),Accounting / Auditing / Taxation,23,2125.0,0.34782608695652173,8.91304347826087,21.4,Low
(Jc) Accounts Executive (Ar),Accounting / Auditing / Taxation,58,3150.0,0.25862068965517243,7.293103448275862,29.8,Low
(Jc) Accounts Executive (Ar) - $3300,Accounting / Auditing / Taxation,26,3150.0,0.3076923076923077,13.384615384615385,24.3,Low
(Jc) Assistant Merchandising Manager - $5000,Sales / Retail,24,4750.0,0.3333333333333333,7.375,26.6,Low
(Jc) Channel Marketing Assistant Manager,Marketing / Public Relations,23,3900.0,0.043478260869565216,2.739130434782609,26.1,Low
(Jc) Class 3 Driver Changi - $2400,General Work,27,2300.0,0.14814814814814814,10.444444444444445,23.6,Low
(Jc) Class 4 Driver (Gross Up3.5K / 5 Days),General Work,26,3250.0,0.0,3.9615384615384617,25.9,Low
(Jc) Class 4 Driver Changi - $2400,General Work,27,2300.0,0.0,8.37037037037037,24.4,Low
(Jc) Delivery Assistant,General Work,35,2850.0,0.05714285714285714,3.8285714285714287,26.8,Low
(Jc) Delivery Assistant - $2600,General Work,48,2850.0,0.08333333333333333,7.875,28.7,Low
(Jc) Dishwasher,F&B,69,1800.0,0.0,6.927536231884058,29.6,Low
(Jc) Ecommerce Manager,Customer Service,21,4750.0,0.09523809523809523,2.5238095238095237,26.8,Low
