posting_month,primary_category,postings,total_vacancies,median_salary,avg_applications
2023-03,Accounting / Auditing / Taxation,776,1899,3450.0,9.689432989690722
2023-03,Admin / Secretarial,957,1707,2750.0,10.940438871473354
2023-03,Advertising / Media,141,229,3250.0,9.631205673758865
2023-03,Architecture / Interior Design,133,910,4000.0,4.887218045112782
2023-03,Banking and Finance,470,1044,7000.0,15.912765957446808
2023-03,Building and Construction,685,1309,4000.0,6.8934306569343065
2023-03,Consulting,245,1650,5500.0,10.710204081632654
2023-03,Customer Service,587,1705,3000.0,6.620102214650767
2023-03,Design,60,87,4150.0,11.6
2023-03,Education and Training,262,709,3050.0,8.492366412213741
2023-03,Engineering,904,1626,4750.0,7.188053097345133
2023-03,Entertainment,9,18,3700.0,2.111111111111111
2023-03,Environment / Health,56,359,3750.0,17.410714285714285
2023-03,Events / Promotions,35,39,3000.0,8.542857142857143
2023-03,F&B,760,2702,3500.0,3.638157894736842
2023-03,General Management,150,259,3900.0,12.553333333333333
2023-03,General Work,121,278,2350.0,7.190082644628099
2023-03,Healthcare / Pharmaceutical,229,1160,3750.0,8.20524017467249
2023-03,Hospitality,34,46,3475.0,6.676470588235294
2023-03,Human Resources,241,359,4000.0,14.448132780082988
2023-03,Information Technology,1042,2661,6575.0,10.297504798464491
2023-03,Insurance,24,123,7750.0,9.375
2023-03,Legal,33,44,7000.0,11.151515151515152
2023-03,Logistics / Supply Chain,386,678,3025.0,9.854922279792746
2023-03,Manufacturing,168,364,3750.0,5.357142857142857
2023-03,Marketing / Public Relations,218,334,3650.0,11.775229357798166
2023-03,Medical / Therapy Services,46,79,3700.0,1.4565217391304348
2023-03,Others,301,1586,3750.0,9.574750830564785
2023-03,Personal Care / Beauty,75,230,3750.0,0.64
2023-03,Precision Engineering,7,9,4250.0,8.285714285714286
2023-03,Professional Services,26,69,4000.0,10.653846153846153
2023-03,Public / Civil Service,5,6,3100.0,5.8
2023-03,Purchasing / Merchandising,52,97,2850.0,10.23076923076923
2023-03,Real Estate / Property Management,27,39,4000.0,14.851851851851851
2023-03,Repair and Maintenance,40,98,2750.0,2.1
2023-03,Risk Management,16,23,6750.0,16.375
2023-03,Sales / Retail,429,943,3250.0,5.3776223776223775
2023-03,Sciences / Laboratory / R&D,107,133,4950.0,6.579439252336448
2023-03,Security and Investigation,38,142,2575.0,11.263157894736842
2023-03,Social Services,23,28,3672.5,27.304347826086957
2023-03,Telecommunications,10,24,10500.0,15.6
2023-03,Travel / Tourism,9,25,3000.0,6.777777777777778
2023-03,Wholesale Trade,30,47,4000.0,19.466666666666665
2023-04,Accounting / Auditing / Taxation,2156,4214,3650.0,10.681818181818182
2023-04,Admin / Secretarial,2560,4869,2750.0,12.673828125
2023-04,Advertising / Media,443,640,3500.0,14.474040632054177
2023-04,Architecture / Interior Design,331,656,4000.0,4.6555891238670695
2023-04,Banking and Finance,1161,2272,6500.0,17.944013781223084
2023-04,Building and Construction,2048,5141,4000.0,8.6767578125
2023-04,Consulting,688,2467,5500.0,11.116279069767442
2023-04,Customer Service,1725,5514,3000.0,7.2672463768115945
2023-04,Design,232,358,4000.0,11.168103448275861
2023-04,Education and Training,911,3564,3150.0,7.497255762897915
2023-04,Engineering,3158,6201,4250.0,6.544015199493351
2023-04,Entertainment,42,95,4000.0,11.19047619047619
2023-04,Environment / Health,272,739,3500.0,6.1911764705882355
2023-04,Events / Promotions,124,199,3525.0,10.64516129032258
2023-04,F&B,1473,5933,3300.0,4.0237610319076715
2023-04,General Management,308,581,4000.0,15.165584415584416
2023-04,General Work,332,937,2350.0,5.683734939759036
2023-04,Healthcare / Pharmaceutical,675,3842,3750.0,8.42962962962963
2023-04,Hospitality,163,355,3000.0,11.92638036809816
2023-04,Human Resources,587,954,4000.0,15.93526405451448
2023-04,Information Technology,2685,5691,6500.0,11.479329608938547
2023-04,Insurance,88,107,5950.0,8.261363636363637
2023-04,Legal,93,124,6500.0,9.193548387096774
2023-04,Logistics / Supply Chain,1086,2082,3250.0,9.220994475138122
2023-04,Manufacturing,398,1012,3350.0,8.907035175879397
2023-04,Marketing / Public Relations,605,805,4000.0,15.051239669421488
2023-04,Medical / Therapy Services,60,144,4000.0,6.116666666666666
2023-04,Others,593,1265,3750.0,12.18549747048904
2023-04,Personal Care / Beauty,242,863,3925.0,0.8966942148760331
2023-04,Precision Engineering,19,37,3750.0,3.789473684210526
2023-04,Professional Services,71,157,4150.0,12.183098591549296
2023-04,Public / Civil Service,15,25,5250.0,15.333333333333334
2023-04,Purchasing / Merchandising,128,196,3250.0,13.1640625
2023-04,Real Estate / Property Management,98,173,4500.0,17.183673469387756
2023-04,Repair and Maintenance,148,456,2750.0,4.918918918918919
2023-04,Risk Management,36,48,6500.0,12.722222222222221
2023-04,Sales / Retail,910,2482,3400.0,5.679120879120879
2023-04,Sciences / Laboratory / R&D,275,338,5250.0,9.294545454545455
2023-04,Security and Investigation,70,334,2550.0,9.6
2023-04,Social Services,74,107,3767.5,31.85135135135135
2023-04,Telecommunications,24,57,4450.0,9.25
2023-04,Travel / Tourism,17,30,3250.0,26.11764705882353
2023-04,Wholesale Trade,57,102,3750.0,16.719298245614034
2023-05,Accounting / Auditing / Taxation,6084,11747,3650.0,11.819855358316897
2023-05,Admin / Secretarial,6831,14754,2750.0,15.039379300248866
2023-05,Advertising / Media,1033,1686,3500.0,17.818005808325267
2023-05,Architecture / Interior Design,1019,2101,4000.0,5.433758586849852
2023-05,Banking and Finance,3387,7576,6500.0,19.080897549453795
2023-05,Building and Construction,5195,12107,4000.0,9.641385948026949
2023-05,Consulting,1610,6041,5000.0,14.15776397515528
2023-05,Customer Service,4639,17186,3000.0,8.853201120931235
2023-05,Design,695,1216,4000.0,14.061870503597122
2023-05,Education and Training,2424,8713,3150.0,8.326320132013201
2023-05,Engineering,7564,14377,4500.0,8.15269698572184
2023-05,Entertainment,97,309,4150.0,10.010309278350515
2023-05,Environment / Health,740,4259,3400.0,8.672972972972973
2023-05,Events / Promotions,341,598,3250.0,11.545454545454545
2023-05,F&B,4106,15065,3250.0,4.21699951290794
2023-05,General Management,878,3725,4350.0,20.05239179954442
2023-05,General Work,867,2569,2300.0,5.479815455594002
2023-05,Healthcare / Pharmaceutical,2402,11052,3675.0,9.487926727726894
2023-05,Hospitality,462,872,2775.0,11.173160173160174
