primary_category,seniority_group,salary_band,postings,median_salary,avg_applications
Accounting / Auditing / Taxation,Entry Level,3000-4999,6414,3400.0,1.7871842843779233
Accounting / Auditing / Taxation,Entry Level,5000-7999,232,5500.0,4.724137931034483
Accounting / Auditing / Taxation,Entry Level,8000+,23,11600.0,4.521739130434782
Accounting / Auditing / Taxation,Entry Level,<3000,8681,2500.0,1.5558115424490266
Accounting / Auditing / Taxation,Junior,3000-4999,19625,3500.0,1.8691464968152867
Accounting / Auditing / Taxation,Junior,5000-7999,1784,5750.0,4.186098654708521
Accounting / Auditing / Taxation,Junior,8000+,251,20000.0,3.5697211155378485
Accounting / Auditing / Taxation,Junior,<3000,11806,2700.0,1.2425038116212095
Accounting / Auditing / Taxation,Manager,3000-4999,2089,4500.0,2.5835327908089996
Accounting / Auditing / Taxation,Manager,5000-7999,5766,6500.0,3.9183142559833506
Accounting / Auditing / Taxation,Manager,8000+,2719,9750.0,7.020595807282089
Accounting / Auditing / Taxation,Manager,<3000,132,2750.0,1.9848484848484849
Accounting / Auditing / Taxation,Mid Level,3000-4999,1994,4100.0,2.8019057171514543
Accounting / Auditing / Taxation,Mid Level,5000-7999,1438,6000.0,3.8393602225312935
Accounting / Auditing / Taxation,Mid Level,8000+,374,9250.0,4.89572192513369
Accounting / Auditing / Taxation,Mid Level,<3000,345,2850.0,1.5797101449275361
Accounting / Auditing / Taxation,Senior,3000-4999,8483,4150.0,1.9290345396675703
Accounting / Auditing / Taxation,Senior,5000-7999,3420,5850.0,3.8669590643274856
Accounting / Auditing / Taxation,Senior,8000+,1830,11500.0,9.38087431693989
Accounting / Auditing / Taxation,Senior,<3000,568,2775.0,1.216549295774648
Admin / Secretarial,Entry Level,3000-4999,9837,3500.0,2.738741486225475
Admin / Secretarial,Entry Level,5000-7999,374,7000.0,2.909090909090909
Admin / Secretarial,Entry Level,8000+,20,10500.0,9.5
Admin / Secretarial,Entry Level,<3000,29616,2300.0,2.2219408427876823
Admin / Secretarial,Junior,3000-4999,15358,3500.0,3.6545123062898814
Admin / Secretarial,Junior,5000-7999,853,5750.0,8.229777256740915
Admin / Secretarial,Junior,8000+,65,9500.0,1.7384615384615385
Admin / Secretarial,Junior,<3000,29128,2600.0,1.9313718758582807
Admin / Secretarial,Manager,3000-4999,3870,4000.0,2.108785529715762
Admin / Secretarial,Manager,5000-7999,2020,6250.0,4.819306930693069
Admin / Secretarial,Manager,8000+,457,9500.0,4.273522975929978
Admin / Secretarial,Manager,<3000,254,2700.0,2.763779527559055
Admin / Secretarial,Mid Level,3000-4999,1296,4000.0,5.6003086419753085
Admin / Secretarial,Mid Level,5000-7999,512,6000.0,9.63671875
Admin / Secretarial,Mid Level,8000+,66,9125.0,3.9242424242424243
Admin / Secretarial,Mid Level,<3000,386,2725.0,2.901554404145078
Admin / Secretarial,Senior,3000-4999,2940,4000.0,4.0173469387755105
Admin / Secretarial,Senior,5000-7999,2600,8000.0,3.646923076923077
Admin / Secretarial,Senior,8000+,276,9500.0,8.807971014492754
Admin / Secretarial,Senior,<3000,398,2750.0,3.090452261306533
Advertising / Media,Entry Level,3000-4999,2076,3400.0,2.570809248554913
Advertising / Media,Entry Level,5000-7999,97,6000.0,4.948453608247423
Advertising / Media,Entry Level,<3000,2151,2600.0,2.811250581125058
Advertising / Media,Junior,3000-4999,4162,3750.0,2.555261893320519
Advertising / Media,Junior,5000-7999,337,6000.0,3.0089020771513355
Advertising / Media,Junior,8000+,617,10500.0,0.6726094003241491
Advertising / Media,Junior,<3000,1646,2750.0,2.907654921020656
