metadata_jobPostId,metadata_newPostingDate,title_display,primary_category,employmentTypes,seniority_group,salary_band,average_salary,applications_per_posting,views_per_posting,vacancy_demand
MCF-2023-0831303,2023-11-01,Ecommerce Admin / Marketing Executive,Admin / Secretarial,Full Time,Junior,<3000,2550.0,0,7,2
MCF-2023-0742578,2023-09-28,Operation Executive,Logistics / Supply Chain,Permanent,Junior,3000-4999,3250.0,0,0,1
MCF-2024-0199838,2024-02-08,Service Crew / Captain,F&B,Contract,Entry Level,<3000,2250.0,0,4,5
MCF-2024-0037567,2024-01-08,"Manufacturing Process Engineer (Manufacturing, Precision, Cnc/ Oil&Gas /Aerospace, East)",Engineering,Permanent,Entry Level,3000-4999,4250.0,0,0,3
MCF-2023-0410743,2023-05-28,0370 - Site Supervisor / Project Engineer [ Construction / Electrical / Drawing / Material ],Engineering,Permanent,Senior,3000-4999,3250.0,1,27,1
MCF-2024-0262366,2024-02-22,Quantitative Developer,Banking and Finance,Permanent,Junior,8000+,20000.0,1,15,2
MCF-2023-0370172,2023-05-13,M&E Coordinator,Building and Construction,Full Time,Junior,3000-4999,4500.0,4,59,5
MCF-2023-0707139,2023-09-15,Senior It Engineer,Information Technology,Permanent,Senior,5000-7999,5250.0,1,4,1
MCF-2023-0388604,2023-05-19,Electrical & Instrumentation Engineer (E&I Chemical Plant),Engineering,Permanent,Junior,3000-4999,4150.0,0,58,2
MCF-2023-0751990,2023-10-02,Training Executive,Education and Training,Contract,Junior,3000-4999,3750.0,2,21,1
MCF-2023-0547536,2023-07-18,"Assistant Finance Manager (East, Gaming Industry)",Accounting / Auditing / Taxation,Permanent,Senior,5000-7999,5750.0,1,10,1
MCF-2024-0668571,2024-05-08,Beauty & Wellness Consultant (Orchard| Attractive Commission) [0580],Sales / Retail,Full Time,Entry Level,<3000,2750.0,0,0,1
MCF-2024-0336813,2024-03-06,💚Sales Executive Consultant Brokers💚100% Customers Provided💚Client Relationship Marketing💚$3000 Salary + Comms ($6000-$10000 Monthly),Banking and Finance,Contract,Entry Level,5000-7999,8000.0,0,13,5
MCF-2024-0678617,2024-05-09,Assistant Project Manager (Interior Fit-Out Work),Architecture / Interior Design,Full Time,Senior,3000-4999,3750.0,1,3,1
MCF-2024-0535701,2024-04-12,Public Relations Manager (Corporate Affairs),Marketing / Public Relations,Permanent,Manager,8000+,8600.0,0,0,1
MCF-2024-0208004,2024-02-09,Manufacturing Engineer #65848,Engineering,Permanent,Junior,3000-4999,3500.0,0,0,3
MCF-2024-0032417,2024-01-07,Business Development Executive [Genset / Up To $4.5K] 5052,Marketing / Public Relations,Permanent,Senior,3000-4999,4000.0,0,2,1
MCF-2023-0786576,2023-10-15,Compliance Officer Associate,Banking and Finance,Full Time,Junior,<3000,2000.0,0,3,1
MCF-2023-0946198,2023-11-29,Sales Account Manager- Global Mnc -,Logistics / Supply Chain,Permanent,Senior,3000-4999,5000.0,0,3,1
MCF-2023-0661081,2023-08-29,Hr Admin Assistants (Many Vacancies),Admin / Secretarial,Contract,Junior,<3000,2350.0,0,0,1
MCF-2023-0752497,2023-10-03,Ux Designer,Information Technology,Contract,Mid Level,5000-7999,6500.0,37,192,8
MCF-2023-0348197,2023-05-05,Production Planner,Engineering,Full Time,Entry Level,3000-4999,3400.0,5,110,2
MCF-2024-0671803,2024-05-09,Quality Assurance Executive,Healthcare / Pharmaceutical,Permanent,Junior,3000-4999,3850.0,1,23,1
MCF-2023-0559614,2023-07-23,Business Development Manager,Customer Service,Internship/Attachment,Manager,3000-4999,3800.0,0,2,1
MCF-2024-0287485,2024-02-27,"💰Basic $4,000 🍽️Assistant Restaurant Manager/ Restaurant Manager/5 Days 060",Admin / Secretarial,Permanent,Junior,3000-4999,3500.0,0,1,3
MCF-2024-0312624,2024-03-02,Site Engineering,Building and Construction,Full Time,Manager,5000-7999,5200.0,0,1,5
MCF-2023-0648128,2023-08-24,Operations Executive (Ccp And Career Trial Available),Customer Service,Full Time,Junior,<3000,2050.0,0,2,2
MCF-2024-0270243,2024-02-23,Senior Accounts Associate,Accounting / Auditing / Taxation,Permanent,Junior,3000-4999,3500.0,0,10,1
MCF-2024-0706385,2024-05-15,Pharmacist (Outpatient Pharmacy),Healthcare / Pharmaceutical,Permanent,Junior,5000-7999,5100.0,0,1,2
MCF-2024-0187884,2024-02-06,Senior Accounts Executive,Accounting / Auditing / Taxation,Permanent,Senior,3000-4999,4000.0,1,5,1
MCF-2023-0775656,2023-10-11,Sales Executive ( Marine Electrical | Basic Up To $6K ),Customer Service,Permanent,Junior,3000-4999,4500.0,0,0,1
MCF-2024-0692388,2024-05-13,Placement Executive,Admin / Secretarial,Contract,Entry Level,<3000,2300.0,1,11,2
MCF-2024-0337109,2024-03-07,Assistant Educator,Education and Training,Full Time,Entry Level,<3000,2150.0,0,1,4
MCF-2023-0771962,2023-10-10,Admin Assistant,Admin / Secretarial,Contract,Entry Level,3000-4999,3100.0,1,29,4
MCF-2023-0807006,2023-10-23,Sk12806757 - Ap Analyst,Accounting / Auditing / Taxation,Full Time,Mid Level,3000-4999,5000.0,1,4,1
MCF-2023-0512172,2023-07-06,Customer Engagement Officer (Banking/Office Hour) | Code: Gl,Banking and Finance,Contract,Junior,3000-4999,5000.0,0,5,3
MCF-2023-0619126,2023-08-14,Security Executive (Schools),Security and Investigation,Permanent,Entry Level,3000-4999,3600.0,0,1,2
MCF-2023-0787190,2023-10-16,Marketing Manager,Marketing / Public Relations,Full Time,Manager,3000-4999,4500.0,0,3,1
MCF-2024-0053123,2024-01-10,Database Administrator #Iac,Information Technology,Contract,Junior,8000+,9500.0,1,4,5
MCF-2024-0669831,2024-05-08,"Relationship Manager, Custody Services Coverage",Banking and Finance,Permanent,Manager,8000+,8725.0,1,11,1
MCF-2024-0054355,2024-01-10,"Workshop, Technician Service ( Up To $ 3500 / Commercial Vehicle / Ev / Tuas / Class 3)",Repair and Maintenance,Permanent,Entry Level,3000-4999,3150.0,0,0,2
MCF-2024-0183076,2024-02-05,Assistant Operations Coordinator,F&B,Permanent,Manager,<3000,3000.0,0,3,1
MCF-2023-0423389,2023-06-01,Operation Supervisor,F&B,Full Time,Junior,3000-4999,3350.0,1,40,4
MCF-2023-0599085,2023-08-05,Retail Manager,F&B,Full Time,Junior,3000-4999,4500.0,0,2,5
MCF-2023-0262022,2023-06-12,Beauty Sales Manager,Sales / Retail,Full Time,Manager,8000+,9250.0,3,116,2
MCF-2023-0682792,2023-09-06,Chef De Partie,F&B,Full Time,Junior,3000-4999,3050.0,0,2,3
MCF-2023-0771445,2023-10-10,Network Engineer,Information Technology,Contract,Mid Level,5000-7999,7000.0,0,3,5
MCF-2024-0288687,2024-02-27,Contract Warehouse Assistant (5 Days Office Hours/West) #Hgnt,Others,Temporary,Entry Level,<3000,2000.0,0,0,5
MCF-2024-0234286,2024-02-16,Recruiter (Home-Base) - Remote Support,Human Resources,Freelance,Junior,3000-4999,5000.0,1,9,2
MCF-2024-0118830,2024-01-23,Professor (Epidemiology),Environment / Health,Full Time,Entry Level,8000+,22500.0,0,2,1
MCF-2023-0690412,2023-09-09,"Sales Executive (Exp Automotive Batteries, Lubricants)",Customer Service,Permanent,Junior,3000-4999,3150.0,0,1,1
MCF-2023-1020501,2023-12-15,Admin Assistance,Admin / Secretarial,Permanent,Junior,<3000,2250.0,0,18,1
MCF-2023-0938798,2023-11-28,Learning Support Educator #Mn,Education and Training,Permanent,Junior,3000-4999,3550.0,0,1,1
MCF-2023-0713524,2023-09-18,Ndt Level Iii,Engineering,Full Time,Manager,3000-4999,3250.0,0,0,1
